timestamp,value,well_id,observed_property_id,worker_id
2022-02-15 00:00,93.33,1,1,1
2022-02-04 00:00,93.73,1,1,1
2022-01-25 00:00,93.93,1,1,1
2022-01-14 00:00,94.03,1,1,1
2022-01-05 00:00,94.43,1,1,1
2021-12-23 00:00,94.73,1,1,1
2021-12-15 00:00,94.93,1,1,1
2021-12-06 00:00,95.43,1,1,1
2021-11-24 00:00,95.53,1,1,1
2021-11-15 00:00,95.73,1,1,1
2021-11-05 00:00,96.13,1,1,1
2021-10-25 00:00,96.53,1,1,1
2021-10-15 00:00,96.73,1,1,1
2021-10-05 00:00,96.63,1,1,1
2021-09-24 00:00,96.83,1,1,1
2021-09-15 00:00,96.83,1,1,1
2021-09-08 00:00,96.53,1,1,1
2021-08-25 00:00,96.23,1,1,1
2021-08-16 00:00,96.43,1,1,1
2021-08-05 00:00,96.13,1,1,1
2021-07-26 00:00,95.13,1,1,1
2021-07-15 00:00,94.73,1,1,1
2021-07-06 00:00,95.13,1,1,1
2021-06-25 00:00,97.03,1,1,1
2021-06-15 00:00,96.43,1,1,1
2021-06-04 00:00,96.63,1,1,1
2021-05-25 00:00,95.93,1,1,1
2021-05-14 00:00,96.13,1,1,1
2021-05-05 00:00,96.13,1,1,1
2021-04-26 00:00,96.03,1,1,1
2021-04-15 00:00,95.73,1,1,1
2021-04-05 00:00,95.03,1,1,1
2021-03-26 00:00,95.03,1,1,1
2021-03-15 00:00,94.93,1,1,1
2021-03-05 00:00,94.53,1,1,1
2021-02-25 00:00,94.33,1,1,1
2021-02-17 00:00,94.53,1,1,1
2021-02-05 00:00,94.83,1,1,1
2021-01-25 00:00,94.73,1,1,1
2021-01-15 00:00,95.13,1,1,1
2021-01-05 00:00,95.33,1,1,1
2022-02-15 00:00,76.93,2,1,1
2022-02-04 00:00,77.33,2,1,1
2022-01-25 00:00,77.63,2,1,1
2022-01-14 00:00,77.73,2,1,1
2022-01-05 00:00,78.13,2,1,1
2021-12-23 00:00,78.53,2,1,1
2021-12-15 00:00,79.03,2,1,1
2021-12-06 00:00,79.33,2,1,1
2021-11-24 00:00,79.73,2,1,1
2021-11-15 00:00,80.13,2,1,1
2021-11-05 00:00,79.43,2,1,1
2021-10-25 00:00,81.03,2,1,1
2021-10-15 00:00,81.43,2,1,1
2021-10-05 00:00,81.63,2,1,1
2021-09-24 00:00,81.63,2,1,1
2021-09-15 00:00,81.53,2,1,1
2021-09-08 00:00,81.23,2,1,1
2021-08-25 00:00,81.13,2,1,1
2021-08-16 00:00,80.73,2,1,1
2021-08-05 00:00,80.63,2,1,1
2021-07-26 00:00,79.63,2,1,1
2021-07-15 00:00,79.43,2,1,1
2021-07-06 00:00,80.23,2,1,1
2021-06-25 00:00,81.93,2,1,1
2021-06-15 00:00,81.23,2,1,1
2021-06-04 00:00,80.63,2,1,1
2021-05-25 00:00,81.03,2,1,1
2021-05-14 00:00,80.63,2,1,1
2021-05-05 00:00,80.43,2,1,1
2021-04-26 00:00,80.43,2,1,1
2021-04-15 00:00,80.23,2,1,1
2021-04-05 00:00,79.43,2,1,1
2021-03-26 00:00,78.93,2,1,1
2021-03-15 00:00,78.73,2,1,1
2021-03-05 00:00,78.43,2,1,1
2021-02-25 00:00,78.23,2,1,1
2021-02-17 00:00,78.23,2,1,1
2021-02-05 00:00,79.53,2,1,1
2021-01-25 00:00,78.73,2,1,1
2021-01-15 00:00,79.03,2,1,1
2021-01-05 00:00,79.33,2,1,1
2022-02-15 00:00,47.1,3,1,1
2022-02-04 00:00,47.2,3,1,1
2022-01-25 00:00,47.5,3,1,1
2022-01-14 00:00,47.9,3,1,1
2022-01-05 00:00,48.3,3,1,1
2021-12-23 00:00,48.8,3,1,1
2021-12-15 00:00,49.4,3,1,1
2021-12-06 00:00,49.9,3,1,1
2021-11-24 00:00,50.6,3,1,1
2021-11-15 00:00,51.3,3,1,1
2021-11-05 00:00,51.8,3,1,1
2021-10-25 00:00,53,3,1,1
2021-10-15 00:00,54,3,1,1
2021-10-05 00:00,54.5,3,1,1
2021-09-24 00:00,54.9,3,1,1
2021-09-15 00:00,54.9,3,1,1
2021-09-08 00:00,54.2,3,1,1
2021-08-25 00:00,55.4,3,1,1
2021-08-16 00:00,54.3,3,1,1
2021-08-05 00:00,55,3,1,1
2021-07-26 00:00,53,3,1,1
2021-07-15 00:00,51.3,3,1,1
2021-07-06 00:00,52.3,3,1,1
2021-06-25 00:00,56.5,3,1,1
2021-06-15 00:00,54.8,3,1,1
2021-06-04 00:00,52.6,3,1,1
2021-05-25 00:00,54.7,3,1,1
2021-05-14 00:00,54.44,3,1,1
2021-05-05 00:00,52.4,3,1,1
2021-04-26 00:00,53.7,3,1,1
2021-04-15 00:00,53.7,3,1,1
2021-04-05 00:00,53,3,1,1
2021-03-26 00:00,50.8,3,1,1
2021-03-15 00:00,49.9,3,1,1
2021-03-05 00:00,49.4,3,1,1
2021-02-25 00:00,49.4,3,1,1
2021-02-17 00:00,48.5,3,1,1
2021-02-05 00:00,49.4,3,1,1
2021-01-25 00:00,49.2,3,1,1
2021-01-15 00:00,49.5,3,1,1
2021-01-05 00:00,50,3,1,1
2022-02-15 00:00,18.34,4,1,1
2022-02-04 00:00,16.94,4,1,1
2022-01-25 00:00,17.24,4,1,1
2022-01-14 00:00,18.14,4,1,1
2022-01-05 00:00,18.94,4,1,1
2021-12-23 00:00,20.04,4,1,1
2021-12-15 00:00,20.14,4,1,1
2021-12-06 00:00,21.24,4,1,1
2021-11-24 00:00,22.74,4,1,1
2021-11-15 00:00,24.14,4,1,1
2021-11-05 00:00,26.04,4,1,1
2021-10-25 00:00,28.34,4,1,1
2021-10-15 00:00,31.24,4,1,1
2021-10-05 00:00,31.84,4,1,1
2021-09-24 00:00,32.04,4,1,1
2021-09-15 00:00,36.14,4,1,1
2021-09-08 00:00,30.44,4,1,1
2021-08-25 00:00,41.24,4,1,1
2021-08-16 00:00,32.74,4,1,1
2021-08-05 00:00,37.34,4,1,1
2021-07-26 00:00,33.94,4,1,1
2021-07-15 00:00,26.84,4,1,1
2021-07-06 00:00,26.44,4,1,1
2021-06-25 00:00,39.44,4,1,1
2021-06-15 00:00,37.74,4,1,1
2021-06-04 00:00,27.84,4,1,1
2021-05-25 00:00,34.44,4,1,1
2021-05-14 00:00,32.14,4,1,1
2021-05-05 00:00,29.84,4,1,1
2021-04-26 00:00,32.94,4,1,1
2021-04-15 00:00,35.64,4,1,1
2021-04-05 00:00,32.04,4,1,1
2021-03-26 00:00,28.44,4,1,1
2021-03-15 00:00,24.14,4,1,1
2021-03-05 00:00,23.04,4,1,1
2021-02-25 00:00,22.14,4,1,1
2021-02-17 00:00,19.24,4,1,1
2021-02-05 00:00,21.84,4,1,1
2021-01-25 00:00,20.44,4,1,1
2021-01-15 00:00,20.74,4,1,1
2021-01-05 00:00,21.74,4,1,1
2022-02-15 00:00,34.1,5,1,1
2022-02-04 00:00,26,5,1,1
2022-01-25 00:00,27.5,5,1,1
2022-01-14 00:00,31.8,5,1,1
2022-01-05 00:00,28.6,5,1,1
2021-12-23 00:00,41.9,5,1,1
2021-12-15 00:00,36.8,5,1,1
2021-12-06 00:00,42.3,5,1,1
2021-11-24 00:00,58.8,5,1,1
2021-11-15 00:00,58,5,1,1
2021-11-05 00:00,63.6,5,1,1
2021-10-25 00:00,87.6,5,1,1
2021-10-15 00:00,76.6,5,1,1
2021-10-05 00:00,80.6,5,1,1
2021-09-24 00:00,102.9,5,1,1
2021-09-15 00:00,105,5,1,1
2021-09-08 00:00,92.6,5,1,1
2021-08-25 00:00,125.6,5,1,1
2021-08-16 00:00,107.9,5,1,1
2021-08-05 00:00,135,5,1,1
2021-07-26 00:00,92,5,1,1
2021-07-15 00:00,63.4,5,1,1
2021-07-06 00:00,63.1,5,1,1
2021-06-25 00:00,131.8,5,1,1
2021-06-15 00:00,115.6,5,1,1
2021-06-04 00:00,61.3,5,1,1
2021-05-25 00:00,106.6,5,1,1
2021-05-14 00:00,108.5,5,1,1
2021-05-05 00:00,84.5,5,1,1
2021-04-26 00:00,112.11,5,1,1
2021-04-15 00:00,112.6,5,1,1
2021-04-05 00:00,110.6,5,1,1
2021-03-26 00:00,106,5,1,1
2021-03-15 00:00,72.6,5,1,1
2021-03-05 00:00,55.4,5,1,1
2021-02-25 00:00,51.6,5,1,1
2021-02-17 00:00,33,5,1,1
2021-02-05 00:00,45.4,5,1,1
2021-01-25 00:00,40.5,5,1,1
2021-01-15 00:00,36.5,5,1,1
2021-01-05 00:00,35.1,5,1,1
2022-02-15 00:00,31.81,6,1,1
2022-02-04 00:00,20.11,6,1,1
2022-01-25 00:00,21.51,6,1,1
2022-01-14 00:00,28.81,6,1,1
2022-01-05 00:00,22.91,6,1,1
2021-12-23 00:00,43.31,6,1,1
2021-12-15 00:00,32.81,6,1,1
2021-12-06 00:00,43.91,6,1,1
2021-11-24 00:00,60.61,6,1,1
2021-11-15 00:00,58.71,6,1,1
2021-11-05 00:00,67.51,6,1,1
2021-10-25 00:00,91.91,6,1,1
