meter_id,timestamp,activity_id,energy_reading,description,initial_reading,final_reading,technician_id,note,location_id
1,2008-03-24 09:47,1,,Service,,,,ROLLBACK 90-6-354,1
1,2008-03-24 09:50,1,,Service,,,,ROLLBACK 90-8-1192,1
1,2007-08-29 09:45,1,0,Grease bearing,355.286,999997,4,WELL HAS NOT BEEN USED FOR LAST 2 SEASONS
1,2007-08-29 09:45,1,0,Preventive maintenance,355.286,999997,4,,2
1,2008-03-20 15:47,1,,Service,,0,8,03-8-01568 Abandoned well
1,2008-03-19 14:27,1,,Service,,0,8,ROLLBACK 74-8-126 Abandoned well / Out of inventory
1,2009-06-04 09:33,2,0,,355.286,,8,ROLLBACK DISREGARD 3/20/08 REPAIR; WILL NOT CORRECT
1,2010-01-26 10:38,1,6666,Preventive maintenance,12.505,,8,"DIST: 64""; DSCHG: 90%"
1,2010-01-26 10:38,2,6667,Working on arrival,12.505,,8,,2
1,2010-01-26 10:38,1,6668,Sand Shield,12.505,,8,,2
1,2010-01-26 10:38,1,6669,Spring Clip Kit,12.505,,8,,2
1,2010-01-26 10:38,1,6670,Grease bearing,12.505,,8,,2
1,2010-03-04 10:05,1,,,,,,ROLLBACK,1
1,2010-03-04 10:06,1,,,,,,ROLLBACK,1
1,2009-06-04 10:09,1,0,,355.286,,8,ROLLBACK,1
1,2010-01-26 10:40,1,6666,Grease bearing,12.505,,8,"ROLLBACK DIST: 64""; DSCHG: 90%"
1,2010-01-26 10:40,1,6666,Preventive maintenance,12.505,,8,ROLLBACK DIST 64''  DISCHG 90%
1,2010-01-26 10:40,2,6666,Working on arrival,12.505,,8,ROLLBACK,1
1,2010-01-26 10:40,1,6666,Sand Shield,12.505,,8,ROLLBACK,1
1,2010-01-26 10:40,1,6666,Spring Clip Kit,12.505,,8,ROLLBACK,1
1,2010-01-26 10:40,1,6666,Grease bearing,12.505,,8,ROLLBACK,1
1,2011-02-23 11:40,2,2647,Working on arrival,260.747,,8,DISCHG 70%
1,2011-02-23 11:40,1,2647,Found during Prev maint,260.747,,8,,2
1,2011-02-23 11:40,1,2647,Grease bearing,260.747,,8,,2
1,2011-10-26 09:15,2,271,Working on arrival,597.019,,8,DIST 64'' DISCHG 70%
1,2011-10-26 09:15,1,271,Prev Maint,597.019,,8,,2
1,2011-10-26 09:15,1,271,Bearing  LF Overrunning,597.019,,8,,2
1,2011-10-26 09:15,1,271,Grease bearing,597.019,,8,,2
1,2013-05-22 10:00,2,3960,Working on arrival,923.498,,8,DIST 64'' DISCHG 70%
1,2013-05-22 10:00,1,3960,Prev Maint,923.498,,8,,2
1,2013-05-22 10:00,1,3960,Grease bearing,923.498,,8,,2
1,2013-10-29 11:15,2,445,Working on arrival,170.804,,8,"DIST: 64""; DSCHG: 80%"
1,2013-10-29 11:15,1,445,Grease bearing,170.804,,8,,2
1,2013-10-29 11:15,1,445,Prev Maint,170.804,,8,,2
1,2015-04-09 10:35,2,3871,Working on arrival,480.761,,8,DIST 64'' DISCHG 70%
1,2015-04-09 10:35,1,3871,Prev Maint,480.761,,8,,2
1,2015-04-09 10:35,1,3871,Grease bearing,480.761,,8,,2
1,2015-04-09 10:35,1,3871,Gasket for saddle,480.761,,8,,2
1,2015-12-04 13:00,2,990,Working on arrival,807.109,,8,DIST 64'' DISCHG 70%
1,2015-12-04 13:00,1,991,Prev Maint,807.109,,8,,2
1,2015-12-04 13:00,1,992,Grease bearing,807.109,,8,,2
1,2017-01-17 11:30,2,4372,Working on arrival,83.019,,8,DIST 64'' DISCHG 70%
1,2017-01-17 11:30,1,4372,Prev Maint,83.019,,8,,2
1,2017-01-17 11:30,1,4372,Grease bearing,83.019,,8,,2
1,2018-01-26 11:45,1,8465,Working on Arrival,420.927,,8,DIST 64'' DISCHG 70%
1,2018-01-26 11:45,1,8465,PREV MAINT,420.927,,8,,2
1,2018-01-26 11:45,1,8465,Grease bearing,420.927,,8,,2
1,2019-02-05 08:42,1,12327,Working on Arrival,736.358,,8,DIST 64'' DISCHG 70%
1,2019-02-05 08:42,1,12327,PREV MAINT,736.358,,8,,2
1,2019-02-05 08:42,1,12327,Grease bearing,736.358,,8,,2
1,2019-02-05 08:42,1,12327,Bearing back or driven,736.358,,8,,2
1,2019-02-05 08:42,1,12327,Cable medium,736.358,,8,,2
1,2019-02-05 08:42,1,12327,Gasket for saddle,736.358,,8,,2
1,2020-01-10 14:41,1,2282,Working on Arrival,50.353,,8,DIST 65'' DISCHG 70%
1,2020-01-10 14:41,1,2282,PREV MAINT,50.353,,8,,2
1,2020-01-10 14:41,1,2282,Grease bearing,50.353,,8,,2
1,2021-01-13 09:06,1,6278,Working on Arrival,371.501,,8,DIST 64''  DISCHG 50%
1,2021-01-13 09:06,1,6278,PREV MAINT,371.501,,8,,2
1,2021-01-13 09:06,1,6278,Grease bearing,371.501,,8,,2
